"","Name","Association","Address","X2020.Status","X2021.Status","Seasonality","lon","lat","address"
"1","Ballard Farmers Market ","Seattle Farmers Market Association ","5345 Ballard Ave NW, Seattle, WA 98107","open with delay","open","year round",-122.3845157,47.6673641,"5345 ballard ave nw, seattle, wa 98107, usa"
"2","Madrona Farmers Market","Seattle Farmers Market Association ","1126 Martin Luther King Jr Way, Seattle, WA 98122","open with delay","open","seasonal ",-122.2955384,47.6123802,"1126 martin luther king jr way, seattle, wa 98122, usa"
"3","Wallingford Farmers Market ","Seattle Farmers Market Association ","4800 Meridian Ave N, Seattle, WA 98103","closed ","open","seasonal ",-122.3333528,47.6638867,"4800 meridian ave n, seattle, wa 98103, usa"
"4","Queen Anne Farmers Market ","Queen Anne Farmers Market ","West Crockett St. and Queen Anne Ave, Seattle, WA 98109","open","open","seasonal ",-122.3569639,47.637168,"queen anne ave n & w crockett st, seattle, wa 98119, usa"
"5","West Seattle Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","California Ave SW and SW Alaska, Seattle, WA 98116","open with delay","open","year round",-122.3867979,47.5611386,"sw alaska st & california ave sw, seattle, wa 98116, usa"
"6","Capitol Hill Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","E Denny Way between Broadway & 10th Ave E, Seattle, WA 98112","open with delay","open","year round",-122.32122,47.6188863,"840 e denny way, seattle, wa 98102, usa"
"7","University District Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","University Way NE & 52nd Street, Seattle, WA 98105","open with delay","open ","year round",-122.3131361,47.6616632,"university way ne, seattle, wa 98105, usa"
"8","Columbia City Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","37th Ave S & S Edmunds St, South Seattle, WA 98118","open","open","seasonal ",-122.2865028,47.5481964,"37th ave s, seattle, wa, usa"
"9","Lake City Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","NE 125th & 28th NE, Lake City, WA 98125","closed ","open","seasonal ",-122.2795113,47.7190532,"ne 125th st, washington, usa"
"10","Phinney Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","6761 Phinney Ave N, Seattle, WA 98103","closed ","closed","seasonal ",-122.3546132,47.6786523,"6761 phinney ave n, seattle, wa 98103, usa"
"11","Magnolia Neighborhood Farmers Market ","Seattle Neighborhood Farmers Markets ","West McGraw Street, 33rd Ave W, Seattle, WA 98199","closed ","open","seasonal ",-122.3996304,47.639549,"w mcgraw st & 33rd ave w, seattle, wa 98199, usa"
"12","City Hall Farmers Market ","Pike Place Farmers Markets ","600 4th Ave, Seattle, WA 98104","closed ","closed ","seasonal ",-122.3299368,47.6038106,"600 4th ave, seattle, wa 98104, usa"
"13","The Regrade Farmers Market ","Pike Place Farmers Markets ","Lenora St & 7th Ave, Seattle, WA 98121","closed ","closed ","seasonal ",-122.3412513,47.6140194,"lenora st & 4th ave, seattle, wa 98121, usa"
"14","South Lake Union Farmers Market ","Pike Place Farmers Markets ","410 Terry Ave N, Seattle, WA 98109","closed ","open ","seasonal ",-122.3369052,47.6224024,"410 terry ave n, seattle, wa 98109, usa"
"15","First Hill Farmers Market ","Pike Place Farmers Markets ","University St & 9th Ave, Seattle, WA 98101","closed ","open","seasonal ",-95.9113489,36.105004,"5801 e 41st st #900, tulsa, ok 74135, usa"
"16","Pike Place Farmers Market ","Pike Place Farmers Markets ","1901 Western Ave, Seattle, WA 98101","open with delay","open ","year round",-122.3424504,47.6093289,"1901 western ave, seattle, wa 98101, usa"
